R00378,C00039,C00459,691.0,#
R00381,C00039,C02128,?
R00382,C00039,C02128,?
R00383,C00010,C00040,?
R00383,C00040,C00060,?
R00389,C00010,C00040,?
R00389,C00040,C00060,?
R00390,C00010,C00040,?
R00391,C00010,C00040,?
R00391,C00024,C00264,?
R00393,C00024,C00033,?
R00393,C00040,C02403,?
R00394,C00010,C00040,?
R00394,C00040,C00060,?
R00395,C00010,C00040,?
R00395,C00037,C02055,?
R00396,C00022,C00041,-37.7,#
R00397,C00041,C00049,14.2,#
R00398,C00041,C03210,-35.0,#
R00398,C00022,C03210,-35.0,#
R00399,C00010,C00024,-34.7,#
R00399,C00133,C03341,34.7,#
R00400,C00022,C00041,3.1,#
R00400,C00036,C00049,-3.1,#
R00401,C00041,C00133,-0.0,#
R00402,C00042,C00122,63.2,#
R00405,C00042,C00091,-1.9,#
R00405,C00010,C00091,-1.9,#
R00406,C00042,C00091,4.8,#
R00406,C00149,C04348,-4.8,#
R00407,C00042,C00091,24.5,#
R00407,C00010,C00091,24.5,#
R00408,C00042,C00122,46.2,#
R00409,C00022,C04593,-9.2,#
R00409,C00042,C04593,-9.2,#
R00410,C00042,C00091,-11.2,#
R00410,C00164,C00332,11.2,#
R00411,C00025,C05931,2.4,#
R00411,C00042,C05931,2.4,#
R00412,C00042,C00122,?
R00414,C00015,C00043,23.2,#
R00414,C00043,C00645,-23.2,#
R00416,C00043,C04501,3.6,#
R00417,C00015,C00043,?
R00417,C03021,C04375,?
R00418,C00043,C00203,0.0,#
R00420,C00043,C01170,0.0,#
R00421,C00043,C04573,-17.0,#
R00424,C00044,C00058,-89.3,#
R00424,C00044,C04895,-89.3,#
R00425,C00044,C00058,-64.3,#
R00425,C00044,C01304,-64.3,#
R00426,C00044,C00144,-31.1,#
R00428,C00044,C05922,8.3,#
R00429,C00044,C04494,-5.5,#
R00429,C00002,C00020,-5.5,#
R00430,C00022,C00074,30.1,#
R00430,C00035,C00044,-30.1,#
R00431,C00035,C00044,-12.8,#
R00431,C00036,C00074,12.8,#
R00432,C00042,C00091,0.6,#
R00432,C00010,C00091,0.6,#
R00434,C00044,C00942,6.9,#
R00435,C00002,C00046,356.8,#
R00436,C00046,C02073,?
R00437,C00008,C00046,367.4,#
R00438,C00015,C00046,956.1,#
R00439,C00035,C00046,?
R00440,C00046,C00112,-696.5,#
R00441,C00044,C00046,?
R00442,C00046,C00063,686.4,#
R00443,C00046,C00075,947.8,#
R00445,C00047,C04092,18.9,#
R00446,C00047,C04076,36.1,#
R00447,C00047,C03239,-104.7,#
R00448,C00047,C01028,-240.04,*
R00449,C00047,C00990,-469.6,#
R00451,C00047,C00680,17.3,#
R00452,C00047,C04020,-39.4,#
R00452,C00022,C04020,-39.4,#
R00453,C00022,C00041,-1.7,#
R00453,C00047,C04076,-1.7,#
R00454,C00010,C00024,24.6,#
R00454,C00047,C02727,-24.6,#
R00457,C00025,C00026,1.9,#
R00457,C00047,C04076,-1.9,#
R00458,C00047,C02727,5.3,#
R00458,C00033,C02727,5.3,#
R00459,C00047,C00408,-82.3,#
R00460,C00047,C00739,0.0,#
R00461,C00047,C01142,-4.6,#
R00462,C00047,C01672,-25.3,#
R00463,C00047,C02837,-17.6,#
R00465,C00048,C00160,-45.6,#
R00466,C00048,C00209,-156.9,#
R00468,C00010,C00313,-7.4,#
R00468,C00048,C00313,-7.4,#
R00469,C00048,C00603,24.8,#
R00469,C00011,C00603,24.8,#
R00470,C00022,C01127,-17.8,#
R00470,C00048,C01127,-17.8,#
R00471,C00022,C05946,-15.4,#
R00471,C00048,C05946,-15.4,#
R00472,C00010,C00024,32.7,#
R00472,C00048,C00149,-32.7,#
R00472,C00024,C00149,-32.7,#
R00473,C00024,C04348,-13.0,#
R00473,C00048,C04348,-13.0,#
R00474,C00048,C03217,-28.0,#
R00475,C00048,C00160,88.8,#
R00476,C00048,C00160,?
R00477,C00036,C01990,-21.3,#
R00477,C00048,C01990,-21.3,#
R00478,C00037,C03961,-1.5,#
R00478,C00048,C03961,-1.5,#
R00479,C00042,C00311,-8.6,#
R00479,C00048,C00311,-8.6,#
R00480,C00002,C00008,18.4,#
R00480,C00049,C03082,18.4,#
R00481,C00049,C05840,-69.3,#
R00482,C00049,C00152,-10.0,#
R00483,C00049,C00152,-18.1,#
R00484,C00049,C00438,31.5,#
R00485,C00049,C00152,16.4,#
R00485,C00014,C00152,16.4,#
R00486,C00049,C02512,39.89,*
R00487,C00010,C00024,18.0,#
R00487,C00049,C01042,-18.0,#
R00488,C00049,C01042,12.0,#
R00488,C00033,C01042,12.0,#
R00489,C00049,C00099,-21.0,#
R00490,C00049,C00122,13.9,#
R00490,C00014,C00049,-13.9,#
R00491,C00049,C00402,4.9,#
R00493,C00036,C00049,?
R00493,C00161,C05167,?
R00494,C00051,C01419,-3.1,#
R00494,C00025,C00051,3.1,#
R00497,C00037,C00051,-25.2,#
R00497,C00051,C00669,25.2,#
R00499,C00042,C03174,29.0,#
R00499,C00051,C03174,29.0,#
R00501,C00052,C00617,-16.9,#
R00502,C00052,C00446,2.9,#
R00503,C00015,C00052,10.0,#
R00503,C00031,C00243,-10.0,#
R00503,C00052,C00243,-10.0,#
R00504,C00052,C00105,234.97,*
R00504,C00043,C04739,234.97,*
R00505,C00052,C03733,4.6,#
R00506,C00015,C00052,-244.3,#
R00506,C00052,C05796,244.3,#
R00507,C00053,C00054,-83.6,#
R00508,C00053,C00224,-12.8,#
R00509,C00002,C00008,-13.6,#
R00509,C00053,C00224,13.6,#
R00510,C00055,C00117,-12.1,#
R00510,C00055,C00380,-12.1,#
R00511,C00055,C00475,-15.2,#
R00512,C00002,C00008,-3.2,#
R00512,C00055,C00112,-3.2,#
R00513,C00002,C00008,-11.2,#
R00513,C00055,C00475,11.2,#
R00514,C00055,C00112,23.2,#
R00515,C00055,C00063,33.3,#
R00516,C00055,C00475,8.9,#
R00516,C00015,C00075,8.9,#
R00517,C00055,C00475,8.7,#
R00517,C00035,C00044,8.7,#
R00518,C00002,C00008,-10.9,#
R00518,C00058,C02405,-10.9,#
R00519,C00011,C00058,14.1,#
R00521,C00010,C00798,10.5,#
R00521,C00058,C00798,10.5,#
R00522,C00058,C00209,17.5,#
R00524,C00058,C00488,31.7,#
R00524,C00014,C00488,31.7,#
R00525,C00025,C01045,33.0,#
R00525,C00058,C01045,33.0,#
R00526,C00049,C01044,31.2,#
R00526,C00058,C01044,31.2,#
R00527,C00051,C01031,11.2,#
R00527,C00058,C01031,11.2,#
R00528,C00059,C00094,-17.63,*
R00529,C00059,C00224,47.4,#
R00530,C00059,C00224,58.0,#
R00531,C00020,C00224,81.9,#
R00531,C00059,C00224,81.9,#
R00532,C00022,C02703,-154.83,*
R00533,C00059,C00094,171.9,#
R00534,C00031,C02827,-192.26,*
R00535,C00053,C00054,-273.74,*
R00535,C00951,C08357,-273.74,*
R00536,C00053,C00054,-273.05,*
R00536,C05299,C08358,-273.05,*
R00537,C00053,C00054,-273.05,*
R00537,C05302,C08359,-273.05,*
R00538,C00060,C00071,?
R00539,C00060,C02133,?
R00540,C00060,C00726,?
R00540,C00014,C00726,?
R00542,C00020,C03361,?
R00542,C00060,C03361,?
R00543,C00022,C02119,?
R00543,C00060,C02119,?
R00544,C00060,C00071,?
R00545,C00047,C02444,?
R00545,C00060,C02444,?
R00546,C00049,C02715,?
R00546,C00060,C02715,?
R00547,C00051,C02589,?
R00547,C00060,C02589,?
R00548,C00061,C00255,-28.0,#
R00549,C00002,C00008,1.6,#
R00549,C00061,C00255,-1.6,#
R00550,C00061,C00255,-11.4,#
R00550,C00031,C00103,-11.4,#
R00551,C00062,C00077,-28.7,#
R00551,C00062,C00086,-28.7,#
R00552,C00062,C00327,-34.7,#
R00554,C00002,C00008,6.3,#
R00554,C00062,C05945,6.3,#
R00555,C00003,C00153,?
R00555,C00613,C16011,?
R00557,C00062,C00327,-1261.0,#
R00558,C00062,C05933,?
R00559,C00062,C03078,-458.2,#
R00562,C00062,C04137,-32.7,#
R00562,C00022,C04137,-32.7,#
R00563,C00062,C01682,-23.5,#
R00563,C00026,C01682,-23.5,#
R00565,C00062,C00077,-0.3,#
R00565,C00037,C00581,-0.3,#
R00565,C00062,C00581,-0.3,#
R00566,C00062,C00179,-13.9,#
R00567,C00062,C00792,8.4,#
R00568,C00063,C00075,-24.9,#
R00569,C00063,C00112,-25.9,#
R00570,C00002,C00008,-0.5,#
R00570,C00063,C00112,0.5,#
R00571,C00063,C00075,1.5,#
R00572,C00022,C00074,28.2,#
R00572,C00063,C00112,28.2,#
R00573,C00025,C00064,13.0,#
R00573,C00063,C00075,13.0,#
R00574,C00063,C00941,4.6,#
R00575,C00025,C00064,6.5,#
R00575,C00064,C00169,-6.5,#
R00576,C00022,C00041,-11.5,#
R00576,C00064,C00940,-11.5,#
R00577,C00010,C00040,?
R00577,C00064,C02716,?
R00578,C00025,C00064,29.5,#
R00578,C00049,C00152,-29.5,#
R00579,C00064,C00819,7.6,#
R00581,C00065,C00168,41.7,#
R00582,C00065,C01005,10.4,#
R00584,C00065,C01005,-5.4,#
R00585,C00022,C00041,4.0,#
R00585,C00065,C00168,4.0,#
R00586,C00010,C00024,6.7,#
R00586,C00065,C00979,-6.7,#
R00588,C00037,C00048,4.3,#
R00588,C00065,C00168,-4.3,#
R00589,C00065,C00740,-0.9,#
R00590,C00065,C02218,-3.8,#
R00594,C00019,C00021,?
R00594,C01764,C03446,?
R00595,C00019,C00021,?
R00595,C04155,C17325,?
R00596,C00019,C00021,?
R00596,C04156,C17324,?
R00597,C00019,C00021,?
R00597,C01977,C04157,?
R00598,C00019,C00021,?
R00598,C01977,C04158,?
R00599,C00019,C00021,?
R00599,C04159,C17324,?
R00600,C00019,C00021,?
R00600,C01977,C04160,?
R00601,C00019,C00021,?
R00601,C04728,C11478,?
R00602,C00067,C00132,292.3,#
R00603,C00067,C02271,?
R00604,C00058,C00067,43.0,#
R00605,C00067,C00132,-34.2,#
R00606,C00067,C00218,?
R00608,C00067,C00132,99.2,#
R00609,C00025,C01046,?
R00609,C00067,C01046,?
R00610,C00037,C00213,76.8,#
R00610,C00067,C00213,76.8,#
R00611,C00037,C00213,?
R00611,C00067,C00213,?
R00612,C00047,C02728,69.1,#
R00612,C00067,C02728,69.1,#
R00614,C00067,C00132,-77.2,#
R00614,C00058,C00067,77.2,#
R00615,C00068,C01081,-8.77,*
R00616,C00002,C00008,2.71,*
R00616,C00068,C03028,2.71,*
R00617,C00002,C00008,-3.3,#
R00617,C00068,C01081,3.3,#
R00618,C00068,C03028,29.18,*
R00619,C00068,C00378,3.0,*
R00619,C00002,C00020,-3.0,*
R00621,C00068,C05381,-58.27,*
R00621,C00026,C05381,-58.27,*
R00623,C00071,C00226,?
R00624,C01450,C01612,?
R00625,C00071,C00226,?
R00626,C00069,C01153,?
R00627,C00010,C00024,?
R00627,C00069,C01883,?
R00628,C00069,C01883,?
R00628,C00033,C01883,?
R00629,C00053,C00054,?
R00629,C00069,C02000,?
R00630,C00060,C02391,?
R00630,C00069,C02391,?
R00631,C00071,C00162,?
R00634,C00060,C00071,?
R00635,C00060,C00071,?
R00636,C00071,C00161,?
R00637,C00071,C00226,?
R00638,C00071,C00162,?
R00639,C00071,C00226,?
R00640,C00072,C01115,-124.94,*
R00643,C00072,C01115,9.05,*
R00644,C00072,C05422,?
R00646,C00072,C00209,-523.71,*
R00646,C00072,C01620,-523.71,*
R00647,C00072,C03289,24.87,*
R00648,C00073,C01180,-105.5,#
R00649,C00019,C00021,0.03,*
R00649,C00073,C03172,0.03,*
R00650,C00019,C00021,46.28,*
R00650,C00073,C00155,-46.28,*
R00651,C00033,C01077,57.0,#
R00651,C00073,C00409,57.0,#
R00652,C00037,C00048,18.1,#
R00652,C00073,C01180,-18.1,#
R00653,C00058,C03145,24.9,#
R00653,C00073,C03145,24.9,#
R00654,C00073,C00409,-9.9,#
R00654,C00073,C00109,-9.9,#
R00655,C00073,C00855,-2.6,#
R00656,C00073,C03354,-23.8,#
R00658,C00074,C00631,4.1,#
R00659,C00022,C00074,30.0,#
R00659,C00015,C00075,-30.0,#
R00660,C00043,C04631,-12.4,#
R00661,C00074,C02798,14.9,#
R00662,C00075,C00105,-29.5,#
R00664,C00010,C00512,74.7,#
R00664,C00077,C03712,-74.7,#
R00665,C00077,C00327,23.9,#
R00666,C00077,C04210,-57.2,#
R00666,C00022,C04210,-57.2,#
R00667,C00025,C00026,19.8,#
R00667,C00077,C01165,-19.8,#
R00668,C00025,C00026,13.8,#
R00668,C00077,C04322,-13.8,#
R00669,C00033,C00437,-0.5,#
R00669,C00077,C00437,-0.5,#
R00670,C00077,C00134,-43.2,#
R00671,C00077,C00148,-22.4,#
R00672,C00077,C00515,-21.7,#
R00673,C00078,C00463,21.1,#
R00673,C00022,C00078,-21.1,#
R00674,C00078,C00463,49.8,#
R00674,C00065,C00078,-49.8,#
R00675,C00078,C00331,1.1,#
R00676,C00078,C00331,2.1,#
R00677,C00078,C00331,-132.4,#
R00678,C00078,C02700,-339.0,#
R00679,C00078,C02693,-478.8,#
R00681,C00078,C03230,-391.6,#
R00682,C00078,C00977,-1.1,#
R00683,C00019,C00021,48.85,*
R00683,C00078,C02983,48.85,*
R00684,C00025,C00026,36.9,#
R00684,C00078,C00331,-36.9,#
R00685,C00078,C00398,-33.3,#
R00686,C00079,C02265,-42.7,#
R00688,C00079,C00166,37.5,#
R00689,C00079,C00166,-96.0,#
R00690,C00079,C02505,-474.9,#
R00691,C00079,C00826,75.8,#
R00692,C00022,C00041,-0.3,#
R00692,C00079,C00166,-0.3,#
R00693,C00010,C00024,30.1,#
R00693,C00079,C03519,-30.1,#
R00694,C00025,C00026,0.5,#
R00694,C00079,C00166,-0.5,#
R00695,C00079,C00166,-3.4,#
R00695,C00036,C00049,-3.4,#
